ville,pays,latitude,longitude,date_entiere,heure,aqi,pm2_5,pm10,no2,so2,o3,co,no,nh3
Paris,FR,48.8566,2.3522,2025-07-02,10,48,11.51,23.08,1.59,0.49,69.78,94.5,0.44,5.56
Tokyo,JP,35.6895,139.6917,2025-07-02,10,41,9.62,16.91,1.9,2.18,86.81,129.85,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-02,11,29,1.05,1.9,0.08,0.1,60.58,66.07,0.02,0.2
London,GB,51.5074,-0.1278,2025-07-02,11,21,5.13,6.39,14.85,6.38,27.02,127.65,6.77,0.79
New York,US,40.7128,-74.006,2025-07-02,11,19,4.57,4.72,6.64,0.99,21.45,166.6,0.06,0.07
Paris,FR,48.8566,2.3522,2025-07-02,11,50,11.98,23.27,0.89,0.51,83.27,93.8,0.18,4.93
Tokyo,JP,35.6895,139.6917,2025-07-02,11,40,9.01,16.34,2.04,2.35,84.08,128.91,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-02,12,28,1.02,1.7,0.08,0.1,59.53,65.75,0.02,0.2
London,GB,51.5074,-0.1278,2025-07-02,12,20,4.87,6.26,13.46,6.37,32.86,128.47,6.53,0.93
New York,US,40.7128,-74.006,2025-07-02,12,19,4.66,4.84,8.09,1.01,17.84,177.28,0.49,0.11
Paris,FR,48.8566,2.3522,2025-07-02,12,51,12.24,22.36,0.72,0.51,88.81,93.86,0.14,4.53
Tokyo,JP,35.6895,139.6917,2025-07-02,12,38,8.44,15.67,2.14,2.48,81.45,127.91,0,0.02
Antananarivo,MG,-18.8792,47.5079,2025-07-02,13,27,1.04,1.65,0.12,0.11,58.05,67.02,0.02,0.22
London,GB,51.5074,-0.1278,2025-07-02,13,22,4.7,6.28,9.57,6.09,46.51,127.26,5.87,1.12
New York,US,40.7128,-74.006,2025-07-02,13,20,4.71,4.91,8.72,1,15.56,188.27,1.32,0.13
Paris,FR,48.8566,2.3522,2025-07-02,13,45,10.88,21.98,0.53,0.44,90.53,92.17,0.09,3.53
Tokyo,JP,35.6895,139.6917,2025-07-02,13,37,7.59,13.61,2.24,2.6,78.63,126.85,0,0.03
Antananarivo,MG,-18.8792,47.5079,2025-07-02,14,26,1.11,1.74,0.19,0.12,55.79,70.14,0.01,0.27
London,GB,51.5074,-0.1278,2025-07-02,14,29,4.77,6.65,8.53,5.94,60.55,124.59,3.79,1.17
New York,US,40.7128,-74.006,2025-07-02,14,20,4.73,4.97,8.34,1.01,14.2,196.2,2.16,0.13
Paris,FR,48.8566,2.3522,2025-07-02,14,43,9.46,19.02,0.48,0.41,90.01,91.54,0.06,2.83
Tokyo,JP,35.6895,139.6917,2025-07-02,14,36,6.71,11.33,2.38,2.72,76.39,126.68,0,0.03
Antananarivo,MG,-18.8792,47.5079,2025-07-02,15,26,1.17,1.84,0.28,0.13,54.12,72.99,0,0.28
London,GB,51.5074,-0.1278,2025-07-02,15,34,4.47,6.54,7.74,5.7,72.95,122.74,2.54,1.14
New York,US,40.7128,-74.006,2025-07-02,15,20,4.87,5.14,8.08,1.14,14.81,203.05,2.7,0.13
Paris,FR,48.8566,2.3522,2025-07-02,15,43,8.25,14.55,0.58,0.44,90.21,93.14,0.04,2.37
Tokyo,JP,35.6895,139.6917,2025-07-02,15,35,6.11,9.8,2.51,2.92,75.07,126.54,0,0.02
Antananarivo,MG,-18.8792,47.5079,2025-07-02,16,25,1.27,1.97,0.32,0.13,52.44,74.51,0,0.29
London,GB,51.5074,-0.1278,2025-07-02,16,38,3.72,5.89,7.27,5.43,81.15,122.71,1.92,1.1
New York,US,40.7128,-74.006,2025-07-02,16,22,5.29,5.59,8.95,1.41,19.35,204.78,2.11,0.12
Paris,FR,48.8566,2.3522,2025-07-02,16,41,6.77,10.79,0.76,0.45,85.86,92.65,0.04,2.04
Tokyo,JP,35.6895,139.6917,2025-07-02,16,35,5.63,8.65,2.19,2.99,75.1,125.13,0,0
Antananarivo,MG,-18.8792,47.5079,2025-07-02,17,25,1.36,2.08,0.33,0.14,52.38,75.88,0,0.28
London,GB,51.5074,-0.1278,2025-07-02,17,40,2.92,5.25,7.38,5.2,83.85,123.4,1.55,1.04
New York,US,40.7128,-74.006,2025-07-02,17,23,5.61,5.92,9.58,1.49,24.12,204.42,1.38,0.11
Paris,FR,48.8566,2.3522,2025-07-02,17,39,5.43,8.1,0.96,0.47,81.69,93.73,0.06,1.99
Tokyo,JP,35.6895,139.6917,2025-07-02,17,35,5.41,8.15,2.32,3.22,73.61,124.75,0,0.02
